Taxon,Trunk,Tail
Albertonectes_vanderveldei,2205,2270
Macroplata_tenuiceps,1287,1281
Rhomaleosaurus_cramptoni,2200,1877
Archaeonectrus_rostratus,970,1217
Plesiosaurus_dolichodeirus,760,730
Seelyosaurus_guilelmiimperatori,728,1108
Meyerasaurus_victor,1100,1108
Hauffiosaurus_zanoni,958,926
Atychodracon_megacephalus,1395,1710
Thalassiodracon_hawkinsii,447,492
Eoplesiosaurus_antiquior,768,937
Hauffiosaurus_tomistomimus,1350,1100
Microcleidus_brachypterygius,690,960
Brancasaurus_brancai,912,821
Peloneustes_philarchus,1431,1331
Cryptoclidus_eurymerus,1133,944
Nichollssaura_borealis,1188,1098
Dolichorhynchops_osborni,1056,787
Wapuskanectes_betsynichollsae,1696,1707
